x_1,x_2,y
8.652393876271826994e-04,7.923614099871253980e-02,0.0
1.901444464307025083e-03,1.043500901915781973e-02,1.0
1.128970925421942393e-03,6.427548548164034939e-03,1.0
9.213882472475443597e-04,5.037716340879797722e-03,1.0
7.160421417177620504e-04,3.354421459473697163e-03,1.0
3.050331879730761638e-03,1.366342577048592147e-02,1.0
1.717322064605336564e-03,7.588300568488312928e-03,1.0
1.753387501195012707e-03,9.661246540270224462e-03,1.0
1.790330799078623499e-03,8.847487075590684119e-03,1.0
5.240506589917323568e-04,4.984248808061082781e-02,0.0
5.186473043856857203e-04,5.107350471676920523e-02,0.0
4.690766954188881847e-04,4.439865301916510326e-02,0.0
1.421542623501458177e-03,7.806032737157534741e-03,1.0
7.641141545376039417e-04,6.599383407370612575e-02,0.0
7.167328391311057279e-04,7.360183634983802348e-02,0.0
5.394066450601821142e-04,5.389066720763673046e-02,0.0
3.219660152006133865e-03,1.892008692410522899e-02,1.0
1.146774186160335121e-03,5.186194130197747422e-03,1.0
1.924576289885476625e-03,1.819701123850326341e-01,0.0
9.401824224002687524e-04,6.143653529151269464e-03,1.0
8.391471816736223747e-04,7.650581999485706053e-02,0.0
6.785797825861293727e-04,6.485784169028120660e-02,0.0
2.184028755744216958e-03,1.248192586373459562e-02,1.0
1.183993911243413346e-03,8.646094358066948315e-02,0.0
1.270434442406178938e-03,1.000038483489540386e-01,0.0
9.514179747819147747e-04,8.653967250365353359e-02,0.0
8.572688995642595679e-04,5.466009762549797063e-02,0.0
1.790883791969132477e-03,8.406730315543616688e-03,1.0
1.382275616046056265e-03,1.278541726849180271e-01,0.0
9.390968561692851491e-04,1.112439334992360168e-01,0.0
6.946553425069766337e-04,6.043690813778728604e-02,0.0
2.786328980156408102e-03,1.635077257087212341e-02,1.0
6.821885886158095443e-04,6.885495206512580457e-02,0.0
6.835141736437999431e-04,5.726968469798146555e-02,0.0
1.096749269370998542e-03,9.019268124716292578e-02,0.0
4.447690907336829605e-04,4.269666680775554418e-02,0.0
1.272687537985375643e-03,7.455635169568095195e-03,1.0
2.293885266011638779e-03,1.260074968168383401e-02,1.0
7.116445084841689335e-04,6.106021877148681137e-02,0.0
1.600826248103772408e-03,1.021912151091737553e-02,1.0
2.262869542797306052e-03,1.158674309772331559e-02,1.0
6.084779787753537977e-04,5.805555243862813020e-02,0.0
1.401879694513361724e-03,6.876063122671436344e-03,1.0
1.202437509054983490e-03,1.048424907283744129e-01,0.0
8.575142401324420101e-04,7.500114397213324124e-02,0.0
