x_1,x_2,y
1.460999999999999972e-02,5.883899999999999686e-01,0.0
4.828999999999999959e-02,6.223000000000000059e-02,1.0
1.392999999999999967e-02,6.071400000000000130e-01,0.0
1.625000000000000056e-02,8.521199999999999886e-01,0.0
4.152999999999999747e-02,4.639999999999999680e-02,1.0
1.369000000000000078e-02,6.255399999999999849e-01,0.0
1.439000000000000001e-02,5.233200000000000074e-01,0.0
5.045000000000000179e-02,4.857999999999999818e-02,1.0
1.472000000000000045e-02,4.506899999999999795e-01,0.0
4.519000000000000100e-02,5.383999999999999897e-02,1.0
1.640000000000000138e-02,6.246199999999999530e-01,0.0
4.567000000000000226e-02,4.349999999999999700e-02,1.0
1.694000000000000020e-02,7.076500000000000012e-01,0.0
4.087999999999999967e-02,5.151000000000000023e-02,1.0
1.936999999999999833e-02,6.141699999999999937e-01,0.0
1.416000000000000071e-02,5.542700000000000404e-01,0.0
4.193000000000000199e-02,5.961000000000000326e-02,1.0
4.385000000000000009e-02,4.533000000000000224e-02,1.0
4.877999999999999697e-02,6.087999999999999662e-02,1.0
5.075000000000000344e-02,1.107400000000000051e-01,1.0
1.550999999999999948e-02,6.392200000000000104e-01,0.0
1.358000000000000006e-02,5.742300000000000182e-01,0.0
1.383000000000000028e-02,6.816900000000000182e-01,0.0
1.583999999999999991e-02,5.445299999999999585e-01,0.0
1.464000000000000024e-02,4.775699999999999945e-01,0.0
1.332000000000000024e-02,4.993199999999999861e-01,0.0
3.892999999999999933e-02,4.633999999999999925e-02,1.0
1.461999999999999932e-02,4.979899999999999882e-01,0.0
4.696999999999999786e-02,6.237000000000000183e-02,1.0
1.378000000000000058e-02,5.058300000000000018e-01,0.0
1.686999999999999958e-02,6.742899999999999450e-01,0.0
1.793000000000000149e-02,5.377999999999999448e-01,0.0
4.542000000000000204e-02,6.568999999999999839e-02,1.0
5.113999999999999796e-02,5.612000000000000322e-02,1.0
1.497000000000000067e-02,4.260099999999999998e-01,0.0
3.882000000000000034e-02,4.827000000000000041e-02,1.0
4.302999999999999881e-02,6.514000000000000346e-02,1.0
4.340999999999999720e-02,4.825000000000000122e-02,1.0
4.504999999999999977e-02,4.547999999999999959e-02,1.0
1.614000000000000157e-02,6.796400000000000219e-01,0.0
4.696999999999999786e-02,5.283000000000000196e-02,1.0
5.034999999999999892e-02,6.565999999999999615e-02,1.0
1.617000000000000035e-02,4.879200000000000204e-01,0.0
1.378000000000000058e-02,5.206100000000000172e-01,0.0
5.288000000000000339e-02,5.433000000000000329e-02,1.0
1.861000000000000154e-02,5.612899999999999556e-01,0.0
4.393999999999999989e-02,6.083999999999999825e-02,1.0
4.544000000000000122e-02,6.618999999999999884e-02,1.0
1.165000000000000063e-02,5.020400000000000418e-01,0.0
4.828999999999999959e-02,7.255000000000000338e-02,1.0
1.060000000000000005e-02,4.134200000000000097e-01,0.0
1.565000000000000072e-02,5.726700000000000124e-01,0.0
4.186000000000000137e-02,6.268999999999999573e-02,1.0
4.243999999999999856e-02,7.918000000000000038e-02,1.0
5.331000000000000322e-02,8.805999999999999939e-02,1.0
1.592000000000000012e-02,5.193400000000000238e-01,0.0
1.794000000000000108e-02,4.447400000000000242e-01,0.0
5.013999999999999707e-02,4.823999999999999816e-02,1.0
1.620999999999999872e-02,5.411200000000000454e-01,0.0
1.624000000000000096e-02,6.602599999999999580e-01,0.0
1.409999999999999969e-02,4.678200000000000136e-01,0.0
1.546999999999999938e-02,6.189400000000000457e-01,0.0
4.975000000000000255e-02,5.850999999999999951e-02,1.0
1.422000000000000000e-02,5.071999999999999842e-01,0.0
1.205999999999999954e-02,6.928999999999999604e-01,0.0
4.929000000000000048e-02,8.735999999999999321e-02,1.0
1.417999999999999990e-02,5.302000000000000046e-01,0.0
4.796999999999999875e-02,4.832999999999999796e-02,1.0
1.745000000000000023e-02,8.200499999999999456e-01,0.0
4.127999999999999725e-02,6.117999999999999827e-02,1.0
3.423999999999999960e-02,6.977999999999999481e-02,1.0
1.324999999999999963e-02,4.727999999999999980e-01,0.0
4.789999999999999813e-02,6.626999999999999558e-02,1.0
1.600000000000000033e-02,5.949400000000000244e-01,0.0
1.708000000000000143e-02,7.586100000000000065e-01,0.0
4.197000000000000036e-02,4.789999999999999813e-02,1.0
1.528999999999999977e-02,4.601700000000000235e-01,0.0
4.771999999999999853e-02,5.809000000000000274e-02,1.0
5.038000000000000117e-02,5.138999999999999818e-02,1.0
1.346999999999999933e-02,6.368200000000000527e-01,0.0
1.538999999999999917e-02,5.686999999999999833e-01,0.0
4.603000000000000147e-02,6.666999999999999316e-02,1.0
4.454999999999999932e-02,5.897999999999999771e-02,1.0
4.100999999999999784e-02,4.655999999999999722e-02,1.0
4.859000000000000125e-02,5.915000000000000119e-02,1.0
4.619999999999999801e-02,7.664999999999999591e-02,1.0
1.845000000000000112e-02,4.844999999999999862e-01,0.0
1.510000000000000057e-02,5.249300000000000077e-01,0.0
5.229999999999999927e-02,5.390999999999999959e-02,1.0
1.636999999999999914e-02,4.931300000000000128e-01,0.0
4.406999999999999806e-02,5.519999999999999907e-02,1.0
1.618999999999999953e-02,6.041499999999999648e-01,0.0
1.718000000000000083e-02,5.378500000000000503e-01,0.0
5.176000000000000045e-02,5.723999999999999921e-02,1.0
1.586999999999999869e-02,4.682999999999999940e-01,0.0
5.317000000000000198e-02,5.874000000000000055e-02,1.0
1.468000000000000034e-02,6.924299999999999899e-01,0.0
5.265999999999999848e-02,6.171000000000000096e-02,1.0
1.319999999999999993e-02,3.746599999999999930e-01,0.0
1.489000000000000046e-02,6.709100000000000064e-01,0.0
4.324999999999999678e-02,5.585999999999999993e-02,1.0
1.383000000000000028e-02,5.152799999999999603e-01,0.0
4.653000000000000191e-02,5.870000000000000218e-02,1.0
5.340999999999999914e-02,4.760000000000000342e-02,1.0
4.746999999999999831e-02,5.152999999999999942e-02,1.0
4.104000000000000009e-02,7.534000000000000419e-02,1.0
1.703000000000000000e-02,6.518699999999999495e-01,0.0
1.499999999999999944e-02,5.291400000000000547e-01,0.0
4.143000000000000155e-02,5.455999999999999739e-02,1.0
4.322999999999999760e-02,4.895000000000000046e-02,1.0
1.905000000000000096e-02,6.202400000000000135e-01,0.0
4.311000000000000248e-02,5.177999999999999964e-02,1.0
1.780999999999999944e-02,7.970899999999999652e-01,0.0
4.633999999999999925e-02,5.376000000000000223e-02,1.0
1.660000000000000017e-02,6.179400000000000448e-01,0.0
1.587999999999999828e-02,3.865100000000000202e-01,0.0
1.148000000000000062e-02,4.734200000000000075e-01,0.0
1.427999999999999929e-02,4.330999999999999850e-01,0.0
4.936000000000000110e-02,5.895999999999999852e-02,1.0
1.774999999999999842e-02,4.205900000000000194e-01,0.0
4.451000000000000095e-02,5.569999999999999951e-02,1.0
1.578999999999999848e-02,5.816200000000000259e-01,0.0
4.361000000000000293e-02,7.199999999999999456e-02,1.0
1.570999999999999827e-02,5.125199999999999756e-01,0.0
1.708000000000000143e-02,6.102400000000000047e-01,0.0
3.975000000000000061e-02,6.433999999999999442e-02,1.0
5.025999999999999912e-02,7.167999999999999372e-02,1.0
4.300999999999999962e-02,4.501000000000000140e-02,1.0
1.706999999999999837e-02,6.347500000000000364e-01,0.0
1.434000000000000032e-02,3.698400000000000021e-01,0.0
4.524999999999999856e-02,4.936999999999999722e-02,1.0
5.263000000000000317e-02,5.739999999999999963e-02,1.0
1.515000000000000027e-02,5.636100000000000554e-01,0.0
1.277999999999999969e-02,8.656399999999999650e-01,0.0
4.424000000000000155e-02,5.457999999999999657e-02,1.0
1.497000000000000067e-02,4.103899999999999770e-01,0.0
1.617999999999999994e-02,5.613500000000000156e-01,0.0
4.064999999999999863e-02,7.369000000000000550e-02,1.0
1.581000000000000114e-02,7.263699999999999601e-01,0.0
1.735000000000000084e-02,7.777500000000000524e-01,0.0
4.882999999999999841e-02,7.091999999999999693e-02,1.0
1.660000000000000017e-02,5.662099999999999911e-01,0.0
4.624000000000000332e-02,5.525000000000000050e-02,1.0
3.613000000000000239e-02,6.909999999999999476e-02,1.0
1.812000000000000069e-02,6.199400000000000466e-01,0.0
5.190999999999999781e-02,5.813999999999999724e-02,1.0
4.050999999999999740e-02,4.367999999999999661e-02,1.0
1.512999999999999935e-02,6.130600000000000493e-01,0.0
4.218000000000000221e-02,5.113999999999999796e-02,1.0
1.688999999999999876e-02,7.898500000000000520e-01,0.0
1.378000000000000058e-02,6.665799999999999503e-01,0.0
5.675999999999999795e-02,6.950000000000000622e-02,1.0
4.726999999999999952e-02,4.637000000000000149e-02,1.0
4.327000000000000290e-02,4.914999999999999925e-02,1.0
4.950000000000000233e-02,6.171999999999999709e-02,1.0
4.594999999999999779e-02,5.163999999999999840e-02,1.0
4.766000000000000097e-02,6.779999999999999916e-02,1.0
5.131000000000000144e-02,5.591999999999999749e-02,1.0
4.619999999999999801e-02,6.571000000000000452e-02,1.0
4.324000000000000066e-02,4.164999999999999952e-02,1.0
4.213999999999999690e-02,4.057999999999999802e-02,1.0
1.430000000000000021e-02,4.927500000000000213e-01,0.0
1.460999999999999972e-02,4.817799999999999860e-01,0.0
1.525999999999999926e-02,4.553099999999999925e-01,0.0
4.377000000000000335e-02,6.976000000000000256e-02,1.0
1.396999999999999978e-02,4.086400000000000032e-01,0.0
1.563000000000000153e-02,5.835200000000000387e-01,0.0
1.601999999999999952e-02,7.969800000000000217e-01,0.0
1.240999999999999916e-02,4.441300000000000248e-01,0.0
1.339000000000000086e-02,5.557299999999999462e-01,0.0
1.477999999999999974e-02,6.835599999999999454e-01,0.0
4.513000000000000345e-02,4.959999999999999826e-02,1.0
3.926999999999999935e-02,5.587999999999999912e-02,1.0
1.519000000000000038e-02,6.375600000000000156e-01,0.0
5.346000000000000058e-02,5.768000000000000210e-02,1.0
4.334999999999999964e-02,4.640999999999999986e-02,1.0
4.442000000000000115e-02,4.367999999999999661e-02,1.0
1.553000000000000040e-02,5.368600000000000039e-01,0.0
4.825999999999999734e-02,5.752999999999999781e-02,1.0
1.511999999999999976e-02,6.314400000000000013e-01,0.0
4.757000000000000117e-02,5.195999999999999924e-02,1.0
1.184999999999999942e-02,6.481200000000000294e-01,0.0
5.045999999999999791e-02,7.044999999999999873e-02,1.0
1.675000000000000100e-02,5.631500000000000394e-01,0.0
4.247999999999999693e-02,7.284999999999999809e-02,1.0
1.478999999999999933e-02,5.140299999999999869e-01,0.0
1.607000000000000095e-02,5.594999999999999973e-01,0.0
4.456000000000000238e-02,7.363000000000000100e-02,1.0
4.714000000000000135e-02,4.755999999999999811e-02,1.0
1.791999999999999843e-02,6.814900000000000402e-01,0.0
1.765999999999999862e-02,4.792899999999999938e-01,0.0
4.735999999999999932e-02,5.435000000000000248e-02,1.0
1.204000000000000035e-02,5.724299999999999944e-01,0.0
4.453000000000000014e-02,7.990999999999999492e-02,1.0
5.167000000000000065e-02,6.721000000000000585e-02,1.0
1.762000000000000025e-02,7.716300000000000381e-01,0.0
4.710000000000000298e-02,5.879999999999999810e-02,1.0
1.486999999999999954e-02,5.013900000000000023e-01,0.0
1.559999999999999928e-02,4.788100000000000134e-01,0.0
1.494000000000000015e-02,4.823100000000000165e-01,0.0
5.616000000000000159e-02,7.681999999999999940e-02,1.0
4.383000000000000090e-02,5.806999999999999662e-02,1.0
4.692000000000000337e-02,7.073000000000000120e-02,1.0
5.163999999999999840e-02,5.818999999999999867e-02,1.0
1.849999999999999908e-02,8.079300000000000370e-01,0.0
1.336999999999999994e-02,4.963799999999999879e-01,0.0
1.166000000000000023e-02,4.707399999999999918e-01,0.0
1.580000000000000154e-02,5.359099999999999975e-01,0.0
1.577999999999999889e-02,5.688900000000000068e-01,0.0
4.599000000000000310e-02,6.686000000000000276e-02,1.0
4.374999999999999722e-02,5.262000000000000011e-02,1.0
1.481999999999999984e-02,5.585999999999999854e-01,0.0
1.437000000000000083e-02,5.251700000000000257e-01,0.0
4.717999999999999972e-02,5.041000000000000342e-02,1.0
1.391000000000000049e-02,5.416199999999999903e-01,0.0
4.168999999999999789e-02,5.415999999999999981e-02,1.0
4.077999999999999681e-02,9.035999999999999588e-02,1.0
1.442000000000000053e-02,5.595499999999999918e-01,0.0
1.482999999999999943e-02,4.538300000000000112e-01,0.0
4.488999999999999935e-02,4.896999999999999964e-02,1.0
3.794000000000000150e-02,4.918999999999999762e-02,1.0
1.382000000000000069e-02,3.716200000000000059e-01,0.0
1.459000000000000054e-02,4.423300000000000010e-01,0.0
4.632000000000000006e-02,6.879000000000000392e-02,1.0
4.150000000000000216e-02,4.580999999999999656e-02,1.0
1.693000000000000060e-02,6.749800000000000244e-01,0.0
4.485000000000000098e-02,6.528000000000000469e-02,1.0
1.481000000000000025e-02,4.227000000000000202e-01,0.0
1.469999999999999953e-02,5.636700000000000044e-01,0.0
4.988999999999999685e-02,5.945000000000000284e-02,1.0
3.826000000000000234e-02,4.909999999999999781e-02,1.0
4.803999999999999937e-02,6.658000000000000029e-02,1.0
1.409999999999999969e-02,4.292199999999999904e-01,0.0
5.215999999999999803e-02,6.228999999999999815e-02,1.0
1.572000000000000133e-02,5.878100000000000547e-01,0.0
1.388999999999999957e-02,5.592099999999999849e-01,0.0
1.714999999999999858e-02,8.226400000000000379e-01,0.0
1.525999999999999926e-02,3.913300000000000112e-01,0.0
4.515000000000000263e-02,5.335000000000000159e-02,1.0
1.598000000000000115e-02,5.020200000000000218e-01,0.0
4.363000000000000211e-02,4.705000000000000154e-02,1.0
4.352999999999999925e-02,5.149000000000000105e-02,1.0
4.848000000000000226e-02,5.038000000000000117e-02,1.0
4.682000000000000051e-02,5.043999999999999873e-02,1.0
5.015000000000000013e-02,5.013000000000000095e-02,1.0
1.519999999999999997e-02,4.399299999999999877e-01,0.0
1.359999999999999924e-02,6.157000000000000250e-01,0.0
4.571000000000000063e-02,5.034999999999999892e-02,1.0
4.732000000000000095e-02,5.315999999999999892e-02,1.0
1.290999999999999960e-02,4.275100000000000011e-01,0.0
5.648999999999999855e-02,5.423000000000000043e-02,1.0
4.644999999999999823e-02,6.700000000000000400e-02,1.0
4.682000000000000051e-02,3.910999999999999893e-02,1.0
4.846000000000000307e-02,4.828999999999999959e-02,1.0
4.546000000000000041e-02,4.692000000000000337e-02,1.0
4.479999999999999954e-02,4.023999999999999799e-02,1.0
1.204000000000000035e-02,7.008900000000000130e-01,0.0
1.409999999999999969e-02,5.671699999999999520e-01,0.0
1.586999999999999869e-02,6.786999999999999700e-01,0.0
1.302000000000000032e-02,4.653100000000000014e-01,0.0
5.084000000000000324e-02,5.292999999999999788e-02,1.0
1.898000000000000034e-02,6.108799999999999786e-01,0.0
4.521000000000000019e-02,5.365000000000000324e-02,1.0
4.628000000000000169e-02,5.913999999999999813e-02,1.0
1.768000000000000127e-02,5.286399999999999988e-01,0.0
1.239999999999999956e-02,4.782399999999999984e-01,0.0
1.063000000000000056e-02,4.216900000000000093e-01,0.0
1.550999999999999948e-02,5.539699999999999624e-01,0.0
1.413999999999999979e-02,4.578300000000000147e-01,0.0
3.760000000000000148e-02,6.340999999999999415e-02,1.0
1.503999999999999955e-02,5.888200000000000101e-01,0.0
1.859999999999999848e-02,8.557500000000000107e-01,0.0
5.188999999999999863e-02,6.761999999999999955e-02,1.0
1.684000000000000080e-02,6.057299999999999907e-01,0.0
1.451000000000000033e-02,4.494099999999999762e-01,0.0
1.370000000000000037e-02,5.722500000000000364e-01,0.0
4.782000000000000139e-02,7.138999999999999513e-02,1.0
1.443999999999999971e-02,4.883000000000000118e-01,0.0
1.293000000000000052e-02,4.403799999999999937e-01,0.0
5.088000000000000161e-02,5.496000000000000191e-02,1.0
5.460000000000000270e-02,6.158000000000000279e-02,1.0
1.105000000000000079e-02,5.231999999999999984e-01,0.0
1.444999999999999930e-02,5.677900000000000169e-01,0.0
4.469999999999999668e-02,6.192999999999999894e-02,1.0
4.975999999999999868e-02,6.176000000000000240e-02,1.0
4.318999999999999923e-02,5.423000000000000043e-02,1.0
1.378000000000000058e-02,5.085800000000000320e-01,0.0
4.954000000000000070e-02,4.819999999999999979e-02,1.0
1.388999999999999957e-02,5.170099999999999696e-01,0.0
